id	image_path	input	output
3054_enriched.hrc	image_generator/data/images/3054_full_3_close-up_shot_3_original.png	could you go to the bedroom and take the creditcard on the bed please	[{'frame': 'MOTION', 'elements': [{'name': 'Theme', 'surface': 'you', 'bbox_2d': '<ROBOT>'}, {'name': 'Goal', 'surface': 'bedroom', 'bbox_2d': '<ROOM>'}]}, {'frame': 'TAKING', 'elements': [{'name': 'Theme', 'surface': 'creditcard', 'bbox_2d': [195, 583, 713, 861]}]}]
3054_enriched.hrc	image_generator/data/images/3054_empty_0_wide_shot_3_original.png	could you go to the bedroom and take the creditcard on the bed please	[{'frame': 'MOTION', 'elements': [{'name': 'Theme', 'surface': 'you', 'bbox_2d': '<ROBOT>'}, {'name': 'Goal', 'surface': 'bedroom', 'bbox_2d': '<ROOM>'}]}, {'frame': 'TAKING', 'elements': [{'name': 'Theme', 'surface': 'creditcard', 'bbox_2d': '<MISSING>'}]}]
3054_enriched.hrc	image_generator/data/images/3054_partial_2_close-up_shot_3_original.png	could you go to the bedroom and take the creditcard on the bed please	[{'frame': 'MOTION', 'elements': [{'name': 'Theme', 'surface': 'you', 'bbox_2d': '<ROBOT>'}, {'name': 'Goal', 'surface': 'bedroom', 'bbox_2d': '<ROOM>'}]}, {'frame': 'TAKING', 'elements': [{'name': 'Theme', 'surface': 'creditcard', 'bbox_2d': [458, 476, 563, 516]}]}]
3039_enriched.hrc	image_generator/data/images/3039_full_3_close-up_shot_2_original.png	bring me the potato and the kettle	[{'frame': 'BRINGING', 'elements': [{'name': 'Beneficiary', 'surface': 'me', 'bbox_2d': '<PERSON>'}, {'name': 'Theme', 'surface': 'potato', 'bbox_2d': [566, 630, 839, 836]}]}]
3039_enriched.hrc	image_generator/data/images/3039_empty_0_close-up_shot_3_original.png	bring me the potato and the kettle	[{'frame': 'BRINGING', 'elements': [{'name': 'Beneficiary', 'surface': 'me', 'bbox_2d': '<PERSON>'}, {'name': 'Theme', 'surface': 'potato', 'bbox_2d': '<MISSING>'}]}]
3039_enriched.hrc	image_generator/data/images/3039_partial_2_close-up_shot_3_original.png	bring me the potato and the kettle	[{'frame': 'BRINGING', 'elements': [{'name': 'Beneficiary', 'surface': 'me', 'bbox_2d': '<PERSON>'}, {'name': 'Theme', 'surface': 'potato', 'bbox_2d': [72, 538, 567, 897]}]}]
3136_enriched.hrc	image_generator/data/images/3136_full_3_close-up_shot_4_original.png	take the black paperback from the bookshelf	[{'frame': 'TAKING', 'elements': [{'name': 'Theme', 'surface': 'paperback', 'bbox_2d': '<MISSING>'}, {'name': 'Source', 'surface': 'bookshelf', 'bbox_2d': '<MISSING>'}]}]
3136_enriched.hrc	image_generator/data/images/3136_empty_0_close-up_shot_4_original.png	take the black paperback from the bookshelf	[{'frame': 'TAKING', 'elements': [{'name': 'Theme', 'surface': 'paperback', 'bbox_2d': '<MISSING>'}, {'name': 'Source', 'surface': 'bookshelf', 'bbox_2d': [888, 122, 1022, 590]}]}]
3136_enriched.hrc	image_generator/data/images/3136_partial_2_close-up_shot_1_original.png	take the black paperback from the bookshelf	[{'frame': 'TAKING', 'elements': [{'name': 'Theme', 'surface': 'paperback', 'bbox_2d': '<MISSING>'}, {'name': 'Source', 'surface': 'bookshelf', 'bbox_2d': '<MISSING>'}]}]
3092_enriched.hrc	image_generator/data/images/3092_empty_0_close-up_shot_2_original.png	move to bedroom	[{'frame': 'MOTION', 'elements': [{'name': 'Goal', 'surface': 'bedroom', 'bbox_2d': '<ROOM>'}]}]
